Code,Name,Description,FormatType,FieldGroup
"THT.Auction - Ask Price","Auction - Ask Price","Current or Best Ask Price.","Number","Auction"
"THT.Auction - Ask Size","Auction - Ask Size","Aggregated volume at the Current or Best Ask Price.","Number","Auction"
"THT.Auction - Bid Price","Auction - Bid Price","Current or Best Bid Price.","Number","Auction"
"THT.Auction - BId Size","Auction - BId Size","Aggregated volume at the Current or Best Bid Price.","Number","Auction"
"THT.Auction - Exchange Time","Auction - Exchange Time","Exchange supplied exchange time (Local or GMT depending on the exchange).","Text","Auction"
"THT.Auction - Price","Auction - Price","Auction Price.","Number","Auction"
"THT.Auction - Qualifiers","Auction - Qualifiers","Trade qualifiers or market condition indicator; See Qualifiers for more details.","Text","Auction"
"THT.Auction - Sequence Number","Auction - Sequence Number","An exchange derived sequence number associated with the auction (applicable to US markets).","Number","Auction"
"THT.Auction - Volume","Auction - Volume","Auction Volume.","Number","Auction"
"THT.Correction - Accumulated Volume","Correction - Accumulated Volume","Accumulated number of shares, lots or contracts traded according to the market convention.","Number","Correction"
"THT.Correction - Ask Price","Correction - Ask Price","Best Ask Price at level x.","Number","Correction"
"THT.Correction - Bid Price","Correction - Bid Price","Best Bid Price at level x.","Number","Correction"
"THT.Correction - Buyer ID","Correction - Buyer ID","Buyer Market Maker Identifier (where applicable).","Text","Correction"
"THT.Correction - Exchange Time","Correction - Exchange Time","Exchange supplied exchange time (Local or GMT depending on the exchange).","Text","Correction"
"THT.Correction - Exchange/Contributor ID","Correction - Exchange/Contributor ID","For Consolidated Issues - the exchange identifier where the instrument was last traded.","Text","Correction"
"THT.Correction - ISIN","Correction - ISIN","International Security Identification Number code (ISIN).","Text","Correction"
"THT.Correction - Market VWAP","Correction - Market VWAP","Last exchange derived continuous Volume Average Weighted Price.","Number","Correction"
"THT.Correction - Orderbook VWAP","Correction - Orderbook VWAP","Orderbook (on market) VWAP.","Number","Correction"
"THT.Correction - Original Accumulated Volume","Correction - Original Accumulated Volume","Original accumulated number of shares, lots or contracts traded according to the market convention.","Number","Correction"
"THT.Correction - Original Buyer ID","Correction - Original Buyer ID","Original Buyer Market Maker Identifier (where applicable).","Text","Correction"
"THT.Correction - Original Date","Correction - Original Date","Original Date of the Trade which is corrected.","Date","Correction"
"THT.Correction - Original Exchange Time","Correction - Original Exchange Time","Original Exchange supplied exchange time (Local or GMT depending on the exchange).","Text","Correction"
"THT.Correction - Original Price","Correction - Original Price","Original price is stored in this field when it is replaced by a cancellation or correction. This will only be used when "Apply Cancellations and corrections" are used.","Number","Correction"
"THT.Correction - Original Primary Activity","Correction - Original Primary Activity","Original primary last activity fields the most recent held in Primary Activity.","Number","Correction"
"THT.Correction - Original RIC of Last Eligible Trade","Correction - Original RIC of Last Eligible Trade","Original RIC; Market-level identifier for instruments and pricing sources.","Text","Correction"
"THT.Correction - Original Seller ID","Correction - Original Seller ID","Original Seller Market Maker Identifier (where applicable).","Text","Correction"
"THT.Correction - Original Sequence Number","Correction - Original Sequence Number","Original exchange derived sequence number associated with the trade (applicable to US markets).","Number","Correction"
"THT.Correction - Original Trade Sequence Number","Correction - Original Trade Sequence Number","Original exchange derived sequence number associated with the trade (applicable to US markets).","Number","Correction"
"THT.Correction - Original Unique Trade Identification","Correction - Original Unique Trade Identification","Original Unique Trade Identification.","Text","Correction"
"THT.Correction - Original Volume","Correction - Original Volume","Original volume is stored in this field when it is replaced by a cancellation or correction. This will only be used when "Apply Cancellations and corrections" are used.","Number","Correction"
"THT.Correction - Original Yield","Correction - Original Yield","Original update to indicate Dividend Yield as adjusted by the last trade or closing price.","Number","Correction"
"THT.Correction - PE Ratio","Correction - PE Ratio","An update to indicate the PE ratio or earnings multiple as adjusted by the last trade or closing price.","Number","Correction"
"THT.Correction - Price","Correction - Price","Last traded price.","Number","Correction"
"THT.Correction - Primary Activity","Correction - Primary Activity","Primary last activity fields the most recent held in Primary Activity.","Number","Correction"
"THT.Correction - Qualifiers","Correction - Qualifiers","Trade qualifiers or market condition indicator; See Qualifiers for more details.","Text","Correction"
"THT.Correction - RIC of Last Eligible Trade","Correction - RIC of Last Eligible Trade","Market-level identifier for instruments and pricing sources.","Text","Correction"
"THT.Correction - Seller ID","Correction - Seller ID","Seller Market Maker Identifier (where applicable).","Text","Correction"
"THT.Correction - Sequence Number","Correction - Sequence Number","An exchange derived sequence number associated with the trade (applicable to US markets).","Number","Correction"
"THT.Correction - Trade Sequence Number","Correction - Trade Sequence Number","An exchange derived sequence number associated with the trade (applicable to US markets).","Number","Correction"
"THT.Correction - Volume","Correction - Volume","Last traded volume.","Number","Correction"
"THT.Correction - Yield","Correction - Yield","An update to indicate Dividend Yield as adjusted by the last trade or closing price.","Number","Correction"
"THT.Market Conditions - Qualifiers","Market Conditions - Qualifiers","Trade qualifiers or market condition indicator; See Qualifiers for more details.","Text","Market Conditions"
"THT.Quote - 1M Basis Asset Swap Spread","Quote - 1M Basis Asset Swap Spread","Basis point margin over or under a reference rate for a bond whose cash flows have been converted from fixed to floating via an 1M basis interest rate swap.","Number","Quote"
"THT.Quote - 30 Day ATM IV Call","Quote - 30 Day ATM IV Call","Volatility implied by the market price of a call option contract based on a theoretical pricing model on a 30 days period.","Number","Quote"
"THT.Quote - 30 Day ATM IV Put","Quote - 30 Day ATM IV Put","Volatility implied by the market price of a put option contract based on a theoretical pricing model on a 30 days period.","Number","Quote"
"THT.Quote - 3M Basis Asset Swap Spread","Quote - 3M Basis Asset Swap Spread","Basis point margin over or under a reference rate for a bond whose cash flows have been converted from fixed to floating via an 3M basis interest rate swap.","Number","Quote"
"THT.Quote - 60 Day ATM IV Call","Quote - 60 Day ATM IV Call","Volatility implied by the market price of a call option contract based on a theoretical pricing model on a 60 days period.","Number","Quote"
"THT.Quote - 60 Day ATM IV Put","Quote - 60 Day ATM IV Put","Volatility implied by the market price of a put option contract based on a theoretical pricing model on a 60 days period.","Number","Quote"
"THT.Quote - 6M Basis Asset Swap Spread","Quote - 6M Basis Asset Swap Spread","Basis point margin over or under a reference rate for a bond whose cash flows have been converted from fixed to floating via an 6M basis interest rate swap.","Number","Quote"
"THT.Quote - 90 Day ATM IV Call","Quote - 90 Day ATM IV Call","Volatility implied by the market price of a call option contract based on a theoretical pricing model on a 90 days period.","Number","Quote"
"THT.Quote - 90 Day ATM IV Put","Quote - 90 Day ATM IV Put","Volatility implied by the market price of a put option contract based on a theoretical pricing model on a 90 days period.","Number","Quote"
"THT.Quote - Accumulated Ask Order","Quote - Accumulated Ask Order","Accumulated numbers of ask orders received today.","Number","Quote"
"THT.Quote - Accumulated Ask Order Size","Quote - Accumulated Ask Order Size","Today's total number of potential Best Ask sizes offered.","Number","Quote"
"THT.Quote - Accumulated Bid Order","Quote - Accumulated Bid Order","Accumulated numbers of bid orders received today.","Number","Quote"
"THT.Quote - Accumulated Bid Order Size","Quote - Accumulated Bid Order Size","Today's total number of potential Best Bid sizes offered.","Number","Quote"
"THT.Quote - Ask Compound Yield","Quote - Ask Compound Yield","Ask Compound Yield.","Number","Quote"
"THT.Quote - Ask Dealer Count","Quote - Ask Dealer Count","Ask deal source numbers.","Number","Quote"
"THT.Quote - Ask Implied Volatility","Quote - Ask Implied Volatility","Expected ask volatility that the market is pricing into the option, where ask volatility is the measure of the rate and magnitude of the change in the underlying instrument's ask price.","Number","Quote"
"THT.Quote - Ask Market Maker ID","Quote - Ask Market Maker ID","Identifier indicating the market-maker on the ask side of the quote.","Text","Quote"
"THT.Quote - Ask Price","Quote - Ask Price","Current or Best Ask Price.","Number","Quote"
"THT.Quote - Ask Size","Quote - Ask Size","Aggregated volume at the Current or Best Ask Price.","Number","Quote"
